id,age,gender,music_training,anxiety,sheet_music,lag_task1,pc_final_task1,pc_baseline_task1,pc_difference
1,18,0,NA,2.5,NA,1,63,67,-4
2,NA,NA,NA,4.75,NA,0,71,72,-1
3,NA,0,NA,6.75,NA,1,98,59,39
4,21,0,NA,8,NA,15,84,63,21
7,18,0,NA,2.75,NA,15,100,92,8
9,18,1,NA,6,NA,10,49,88,-39
11,NA,NA,NA,3.5,NA,1,41,76,-35
12,22,0,NA,4.5,NA,5,55,53,2
13,20,0,NA,5.75,NA,0,53,78,-25
14,25,0,NA,5.25,NA,5,55,80,-25
15,19,0,NA,6.75,NA,5,100,100,0
16,NA,1,NA,5.75,NA,15,75,76,-1
19,20,0,NA,7,NA,5,76,73,3
21,18,0,NA,2.75,NA,15,92,57,35
22,NA,NA,NA,4.5,NA,5,100,78,22
23,NA,NA,NA,2,NA,0,82,71,11
25,26,1,NA,5.666666667,NA,0,86,52,34
27,21,0,NA,5.75,NA,15,98,47,51
29,20,0,NA,2,NA,15,76,22,54
31,21,1,NA,5,NA,5,67,35,32
32,24,1,NA,NA,NA,1,90,73,17
34,17,0,NA,8.75,NA,15,71,41,30
36,18,0,NA,6.25,NA,0,53,53,0
37,20,0,NA,9,NA,0,100,96,4
38,22,0,NA,1.25,NA,0,76,67,9
41,20,0,NA,4.75,NA,1,100,63,37
43,19,0,NA,4.666666667,NA,10,100,67,33
44,18,1,NA,5.5,NA,10,86,71,15
48,23,1,NA,NA,NA,5,100,100,0
52,22,0,NA,6,NA,15,100,63,37
54,19,0,NA,4,NA,15,67,75,-8
55,18,0,NA,1,NA,5,78,55,23
56,18,0,NA,5.25,NA,0,71,100,-29
57,19,0,NA,7,NA,10,73,41,32
58,19,0,NA,4.75,NA,0,80,85,-5
59,18,0,NA,1,NA,10,100,67,33
62,20,0,NA,7.75,NA,1,75,29,46
65,18,1,NA,NA,NA,1,100,73,27
68,17,0,NA,6,NA,10,100,100,0
69,18,0,NA,NA,NA,1,45,69,-24
77,25,1,NA,2.25,NA,15,100,71,29
79,20,0,NA,1.5,NA,1,100,67,33
80,18,0,NA,5.25,NA,1,57,63,-6
81,20,1,NA,5,NA,1,51,41,10
82,18,0,NA,4.25,NA,1,84,76,8
86,21,1,NA,4.25,NA,10,59,75,-16
87,18,0,NA,7.25,NA,0,71,41,30
93,20,1,NA,3.75,NA,15,80,27,53
95,19,0,NA,4.5,NA,1,75,60,15
96,20,0,NA,5.5,NA,5,86,35,51
97,18,0,NA,9,NA,15,82,100,-18
